StartDate,EndDate,Progress,Duration..in.seconds.,Finished,RecordedDate,UserLanguage,ABBMC1,ABBMC2,AWBMC1,AWBMC2,ACBMC1,ACBMC2,ACB1,ACB2,ACB3,ACB4,ACB5,ACB6,AWB1,AWB2,AWB3,AWB4,AWB5,AWB6,AWB7,AWB8,ABB1,ABB2,ABB3,ABB4,ABB5,ABB6,CN1,CN2,CN3,CN4,CN5,CN6,RS1,RS2,RS3,RS4,RS5,RS6,CS1,CS2,CS3,CS4,CS5,CS6,CR1,CR2,CR3,CR4,CR5,CR6,RR1,RR2,RR3,RR4,Attention,RR5,MenGB,WomenGB,LGBTGB,StraightGB,MuslimGB,WhiteGB,HispanicGB,ConservGB,LibGB,BlackGB,AtheistGB,ChristGB,WealthyGB,GB_DO,MenFT,WomenFT,LGBTFT,StraightFT,MuslimFT,WhiteFT,HispanicFT,ConservFT,LibFT,BlackFT,AtheistFT,ChristFT,WealthyFT,FT_DO,SDO1,SDO2,SDO3,SDO4,genbias_1,genfeel_2,Age_1,Christian,E,F,Religion,Religiosity,US,RaceAll,RaceAll_8_TEXT,RaceOne,Politics,SO,SO_5_TEXT,G,G_5_TEXT,T,CID1,CID2,CID3,CID4,CID5,BID1,BID2,BID3,BID4,BID5,WID1,WID2,WID3,WID4,WID5,Q78,Q79,aid,FL_31_DO,FL_38_DO,FL_39_DO,Bias,Biasn,Fundamentalism,Evangelical,AntiChristian,ChristNationalism,ChristRT,AntiWhite,AntiBlack,RaceST,RaceRT,ChristST,SDO,WhiteID,ChristianID
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,User Language,Which of the following did the article NOT discuss?,"According to the article, Black people perceive bias in the U.S.",Which of the following did the article NOT discuss?,"According to the article, White people perceive bias in the U.S.",Which of the following did the article NOT discuss?,"According to the article, Christians perceive bias in the U.S.",Christians are victims of prejudice in the U.S.,Christians' freedoms are restricted as a result of discrimination in the U.S.,Christians are unlikely to be victims of religious discrimination in the U.S.,Discrimination against Christians is on the rise in the U.S.,Christians do not have as many freedoms as non-Christians in the U.S.,Christians do not experience religious bias in the U.S.,White people are victims of prejudice in the U.S.,White people's freedoms are restricted as a result of discrimination in the U.S.,White people are unlikely to be victims of racial discrimination in the U.S.,Discrimination against White people is on the rise in the U.S.,White people do not have as many freedoms as non-White people in the U.S.,White people do not experience racial bias in the U.S.,The tables have turned; White people are now likely to experience discrimination,Recent efforts to achieve racial equality have disadvantaged White people,Black people are victims of prejudice in the U.S.,Black people's freedoms are restricted as a result of discrimination in the U.S.,Black people are unlikely to be victims of racial discrimination in the U.S.,Discrimination against Black people is on the rise in the U.S.,Black people do not have as many freedoms as non-Black people in the U.S.,Black people do not experience racial bias in the U.S.,The federal government should declare the United States a Christian Nation,The federal government should advocate Christian values,The federal government should allow the display of religious symbols in public spaces,The federal government should allow prayer in public schools,The success of the United States is part of God’s plan,The federal government should enforce a strict separation of church and state,I am concerned that my racial group's culture is being undermined in the U.S.,I worry about threats to the values and opinions of my racial group,My racial group's values and opinions are safe in the U.S.,I am worried that people in the U.S. don't respect what people of my racial group have to say,People of my racial group can feel safe expressing their opinions and values in the U.S.,I worry that my racial group is being unfairly censored in the U.S.,I am concerned that Christian culture is being undermined in the U.S.,I worry about threats to my religious values,Christian values are safe in the U.S.,I am worried that people in the U.S. don't respect Christian values,I feel safe expressing Christian values in the U.S.,I worry that Christian morality is under threat in the U.S.,I am concerned about Christians' livelihood in the U.S.,I worry about Christians' physical safety in the U.S.,I feel confident about Christians' economic prospects in the U.S.,I worry that Christian businesses and organizations in the U.S. who stick by their values will face negative repercussions,I worry that certain job options will be blocked to Christians who refuse to compromise their morals,I am concerned that Christian businesses will be boycotted for staying true to their values,I am concerned about my racial group's livelihood in the U.S.,I worry about my racial group's physical safety in the U.S.,I feel confident about my racial group's economic prospects in the U.S.,"I worry that businesses and organizations with ""too many"" members of my racial group will face negative repercussions",Please select 5 to indicate you are paying attention,I worry that people of my racial group will have difficulties getting hired in the future,To what extent do the following groups face bias and discrimination in the United States? - Men,To what extent do the following groups face bias and discrimination in the United States? - Women,To what extent do the following groups face bias and discrimination in the United States? - LGBT people,To what extent do the following groups face bias and discrimination in the United States? - Straight/heterosexual people,To what extent do the following groups face bias and discrimination in the United States? - Muslims,To what extent do the following groups face bias and discrimination in the United States? - White people,To what extent do the following groups face bias and discrimination in the United States? - Hispanic people,To what extent do the following groups face bias and discrimination in the United States? - Conservatives,To what extent do the following groups face bias and discrimination in the United States? - Liberals,To what extent do the following groups face bias and discrimination in the United States? - Black people,To what extent do the following groups face bias and discrimination in the United States? - Atheists,To what extent do the following groups face bias and discrimination in the United States? - Christians,To what extent do the following groups face bias and discrimination in the United States? - Wealthy people,To what extent do the following groups face bias and discrimination in the United States? - Display Order,Please indicate how warm or cold you feel towards the following groups: - Men,Please indicate how warm or cold you feel towards the following groups: - Women,Please indicate how warm or cold you feel towards the following groups: - LGBT people,Please indicate how warm or cold you feel towards the following groups: - Straight/heterosexual people,Please indicate how warm or cold you feel towards the following groups: - Muslims,Please indicate how warm or cold you feel towards the following groups: - White people,Please indicate how warm or cold you feel towards the following groups: - Hispanic people,Please indicate how warm or cold you feel towards the following groups: - Conservatives,Please indicate how warm or cold you feel towards the following groups: - Liberals,Please indicate how warm or cold you feel towards the following groups: - Black people,Please indicate how warm or cold you feel towards the following groups: - Atheists,Please indicate how warm or cold you feel towards the following groups: - Christians,Please indicate how warm or cold you feel towards the following groups: - Wealthy people,Please indicate how warm or cold you feel towards the following groups: - Display Order,"In setting priorities, we must consider all groups",We should not push for group equality,Group equality should be our ideal,Superior groups should dominate inferior groups,To what extent do most groups in the U.S. face bias and discrimination? - Most groups in America,Please indicate how warm or cold you usually feel toward people in general - People in general,What is your Age? - Age,Do you think of yourself as a Christian?,"Would you describe yourself as ""born-again"" and/or an evangelical Christian?",Do you consider yourself a fundamentalist Christian (a fundamentalist Christian is someone who believes in the literal truth of the Bible)?,"What is your present religion, if any?",How religious are you?,Do you currently live in the United States?,What is your race/ethnicity? (Check all that apply) - Selected Choice,What is your race/ethnicity? (Check all that apply) - Other (please specify) - Text,Which of the following best describes you?,"In general, do you think of yourself as ____________?",How do you identify in terms of sexual orienation? - Selected Choice,How do you identify in terms of sexual orienation? - Prefer to self-describe - Text,What most closely describes your gender identity? - Selected Choice,What most closely describes your gender identity? - Not listed - Text,Are you transgender?,My religion is an important reflection of who I am,"In general, my religion is an important part of my self-image",My religion has little to do with how I feel about myself,My religion is unimportant to my sense of what kind of person I am,My destiny is tied to the destiny of other Christians,Being Black is an important reflection of who I am,"In general, being Black is an important part of my self-image","Overall, being Black has very little to do with how I feel about myself",Being Black is unimportant to my sense of what kind of person I am,My destiny is tied to the destiny of other Black people,Being White is an important reflection of who I am,"In general, being White is an important part of my self-image","Overall, being White has very little to do with how I feel about myself",Being White is unimportant to my sense of what kind of person I am,My destiny is tied to the destiny of other White people,What do you think the study was about?,Have you completed a study similar to this one previously?,aid,FL_31 - Block Randomizer - Display Order,FL_38 - Block Randomizer - Display Order,FL_39 - Block Randomizer - Display Order,,,,,,,,,,,,,,,
12/8/21 19:53,12/8/21 20:03,100,603,1,12/8/21 20:03,EN,NA,NA,NA,NA,4,1,7,7,1,7,6,2,7,7,1,7,4,1,7,7,7,7,1,4,4,1,7,7,7,7,7,7,7,7,4,4,4,7,7,7,3,5,4,7,7,7,5,6,7,6,7,4,4,4,5,4,30,66,1,81,57,78,45,85,5,55,51,85,27,11|13|7|3|12|2|9|10|6|5|8|1|4,99,99,0,98,1,99,99,98,1,97,1,100,81,7|5|11|4|9|13|12|6|2|1|10|3|8,4,4,4,3,50,70,40,1,1,2,1,7,1,5,NA,5,7,1,NA,0,NA,2,7,7,1,1,7,NA,NA,NA,NA,NA,7,7,3,7,4,It was about discrimination amount different groups of people,2,61b16f80-86a8-0db9-5631-1d8f9d92513b,FL_34,AWB|ACB,RacialSymbolic|ChristianSymbolic|ChristianRealistic|RacialRealistic,Christian,1,No,Yes,6.666666667,7,6.333333333,6.625,6,5.5,4.6,5.833333333,4.25,4.8,7
12/8/21 20:19,12/8/21 20:23,100,287,1,12/8/21 20:23,EN,4,1,NA,NA,NA,NA,5,6,5,5,3,5,6,6,4,4,6,6,6,6,6,5,4,6,5,4,6,5,6,7,5,6,6,3,4,4,3,6,6,5,5,4,5,6,4,4,3,3,3,3,6,6,4,4,5,5,19,47,83,27,57,28,75,14,21,77,26,32,36,4|10|13|12|11|6|3|1|8|7|2|5|9,51,61,36,63,49,64,67,30,83,30,41,86,19,6|2|10|13|8|9|3|1|4|7|12|11|5,6,2,6,3,24,39,25,1,2,2,2,4,1,5,NA,5,4,1,NA,0,NA,2,5,5,5,4,5,NA,NA,NA,NA,NA,6,6,3,3,4,"Racism in America on the basis of ethnicity, sex, and religion.",1,61b1756c-ca98-c347-a1d1-f71764812058,FL_37,ACB|AWB,ChristianRealistic|RacialSymbolic|ChristianSymbolic|RacialRealistic,Black,3,No,No,4.166666667,5.833333333,3.333333333,5,5,4.666666667,5,4.5,5.75,5.2,4.4
12/8/21 20:10,12/8/21 20:47,100,2214,1,12/8/21 20:47,EN,4,1,NA,NA,NA,NA,1,1,7,1,1,1,4,3,6,1,1,6,1,1,7,6,1,3,5,2,5,6,7,7,7,6,1,1,1,1,1,1,5,3,5,5,5,5,6,5,5,5,4,6,5,5,3,4,5,1,18,50,58,32,70,38,52,30,45,74,20,44,59,2|5|10|8|9|3|4|11|1|12|6|7|13,72,90,75,76,70,58,70,52,87,82,47,82,61,10|2|13|8|6|4|12|5|11|3|9|1|7,7,4,7,1,50,50,58,1,1,1,1,5,1,5,NA,5,1,1,NA,0,NA,2,6,6,5,2,6,NA,NA,NA,NA,NA,7,6,7,7,5,Religion not mattering to people anymore.,2,61b172c4-9088-4bb2-6dad-6e4291675308,FL_37,AWB|ACB,ChristianSymbolic|RacialSymbolic|ChristianRealistic|RacialRealistic,Black,3,Yes,Yes,2,6.333333333,5.166666667,1.875,5.666666667,3,4,4,6.25,4,5.4
12/8/21 20:38,12/8/21 20:55,100,1032,1,12/8/21 20:55,EN,NA,NA,NA,NA,NA,NA,2,6,1,4,1,3,4,2,6,5,4,1,5,4,7,7,1,4,4,1,7,7,7,7,6,1,6,4,3,2,7,4,3,5,3,7,7,5,5,2,1,4,4,4,1,1,4,1,5,2,1,52,76,6,98,30,44,33,50,85,63,54,81,11|7|10|13|3|2|4|1|8|6|5|9|12,48,53,30,94,20,94,48,49,50,96,8,100,26,3|12|6|2|13|5|7|9|4|11|10|8|1,7,4,4,1,61,60,57,1,1,2,1,7,1,5,NA,5,4,1,NA,0,NA,2,7,7,1,1,4,NA,NA,NA,NA,NA,5,5,7,7,3,Different views on discrimination here in America,2,61b17970-d24b-f6d8-1514-3a088945e819,FL_35,AWB|ACB,RacialRealistic|RacialSymbolic|ChristianRealistic|ChristianSymbolic,None,0,No,Yes,4.166666667,5.833333333,3.333333333,4.125,6,3.666666667,1.8,4.333333333,5.5,3,6.4
12/8/21 20:49,12/8/21 21:00,100,697,1,12/8/21 21:00,EN,4,1,NA,NA,NA,NA,1,1,4,5,1,1,2,1,7,1,1,6,2,1,5,5,1,4,4,1,1,4,3,1,1,4,2,2,4,1,6,5,5,2,5,5,6,4,2,2,5,4,5,5,1,1,4,1,5,3,12,69,94,11,82,4,76,12,11,77,35,53,0,12|7|8|6|11|3|10|1|2|13|4|9|5,53,79,76,93,74,52,61,51,11,69,63,86,12,4|8|6|5|13|3|11|9|2|10|12|7|1,6,2,6,2,51,55,47,1,2,2,2,5,1,5,NA,5,5,4,NA,1,NA,2,5,5,2,2,1,NA,NA,NA,NA,NA,2,2,6,5,1,Race and identity,2,61b17c0d-5c3d-daa7-8787-cd56bbb58df9,FL_37,AWB|ACB,RacialRealistic|RacialSymbolic|ChristianSymbolic|ChristianRealistic,Black,3,No,No,3.166666667,2.333333333,3.833333333,1.375,5.333333333,2.666666667,2,3.5,6,2,4.6
12/8/21 20:56,12/8/21 21:08,100,740,1,12/8/21 21:08,EN,NA,NA,NA,NA,4,1,7,7,1,7,3,1,6,5,1,6,1,1,6,6,7,7,1,7,6,1,6,6,6,7,7,2,7,7,2,7,2,7,7,7,3,7,5,7,7,7,5,7,7,7,7,7,4,7,5,7,33,96,91,67,92,54,79,72,60,88,67,97,14,7|10|9|4|8|5|2|11|1|6|3|12|13,64,88,48,81,62,93,78,78,42,77,11,95,15,5|9|11|13|1|3|6|12|10|7|4|8|2,7,1,7,1,69,81,53,1,1,1,1,6,1,5,NA,5,5,1,NA,0,NA,2,7,7,1,1,6,NA,NA,NA,NA,NA,7,7,1,1,6,discrimination,2,61b17ddc-8ccd-db5f-8cce-fb58dbc254a4,FL_34,ACB|AWB,ChristianRealistic|RacialSymbolic|RacialRealistic|ChristianSymbolic,Christian,1,Yes,Yes,6.333333333,5.666666667,6.666666667,5.5,6.833333333,6.666666667,6.4,6,7,6.8,6.8
12/8/21 21:15,12/8/21 21:26,100,634,1,12/8/21 21:26,EN,NA,NA,NA,NA,NA,NA,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,1,1,1,1,7,7,7,7,7,7,1,7,7,7,7,1,7,7,7,1,7,1,7,7,7,1,7,7,7,7,7,1,7,5,7,100,100,2,100,2,100,2,100,8,7,100,100,100,11|10|13|6|2|4|7|3|9|8|12|5|1,100,100,2,97,2,100,2,100,2,2,2,100,2,9|3|2|8|1|4|6|10|5|11|12|7|13,7,7,1,7,100,100,38,1,1,1,1,7,1,5,NA,5,7,1,NA,0,NA,2,7,7,1,7,7,NA,NA,NA,NA,NA,7,7,7,1,1,Race and a quality,2,61b1829d-cb03-9c58-8cd5-5ef922d79293,FL_35,ACB|AWB,RacialSymbolic|RacialRealistic|ChristianSymbolic|ChristianRealistic,None,0,Yes,Yes,7,6,6,7,2,6,7,7,2.5,4.6,5.8
12/8/21 21:18,12/8/21 21:28,100,632,1,12/8/21 21:28,EN,NA,NA,4,1,NA,NA,4,4,4,4,4,4,7,7,1,7,7,1,7,7,1,1,7,1,1,7,1,1,1,1,1,7,7,7,1,7,1,7,4,4,4,4,4,4,4,4,4,4,4,4,7,5,1,7,5,7,15,25,15,15,60,60,10,5,10,10,30,15,0,12|8|11|3|1|6|4|13|7|5|2|9|10,75,75,50,85,15,80,55,55,55,60,5,90,30,11|12|1|5|7|8|13|2|9|3|10|4|6,7,7,7,1,60,45,40,1,2,2,1,5,1,5,NA,5,4,1,NA,1,NA,2,5,5,2,2,1,NA,NA,NA,NA,NA,5,5,2,2,1,How racisim affects everyone.,2,61b1833e-02c1-0313-4a3e-bf17f2abc3ee,FL_36,AWB|ACB,RacialSymbolic|ChristianSymbolic|RacialRealistic|ChristianRealistic,White,2,No,No,4,2,4,7,1,7,6.6,4,5.5,4.6,4.6
12/8/21 21:28,12/8/21 21:37,100,551,1,12/8/21 21:37,EN,NA,NA,4,1,NA,NA,6,4,5,5,4,2,5,4,2,5,3,1,6,4,6,5,2,5,7,1,3,4,5,4,4,3,4,3,4,4,5,3,4,5,3,4,2,5,4,5,4,4,5,5,3,3,4,3,5,2,35,59,74,79,72,39,66,55,61,61,49,71,31,12|4|8|3|7|9|6|13|10|5|11|2|1,59,81,74,76,25,79,74,54,53,64,46,71,57,1|12|4|13|3|5|7|8|2|6|10|9|11,5,3,4,3,68,65,25,1,2,1,1,5,1,5,NA,5,4,4,NA,0,NA,2,4,5,4,3,3,NA,NA,NA,NA,NA,5,5,3,2,4,I thought it was interesting with racial things,2,61b18598-a18a-fcb5-a4bb-b37b476c50bc,FL_36,ACB|AWB,ChristianSymbolic|ChristianRealistic|RacialSymbolic|RacialRealistic,White,2,Yes,No,4.666666667,3.833333333,4.5,5,6,3.5,3,4.833333333,4.75,5,4.2
12/8/21 21:33,12/8/21 21:50,100,994,1,12/8/21 21:50,EN,NA,NA,NA,NA,NA,NA,7,5,1,7,4,1,7,7,1,7,6,1,7,7,2,1,2,1,1,3,7,7,7,7,7,7,6,6,1,7,1,6,7,7,1,7,4,6,7,7,1,7,7,7,7,7,1,6,5,5,50,26,0,99,51,100,54,100,0,25,14,100,33,5|10|2|9|8|4|12|7|6|3|13|1|11,54,61,50,52,53,56,54,56,58,48,49,60,59,3|11|10|4|7|2|6|13|5|12|1|8|9,7,1,7,1,46,51,48,1,1,1,1,7,1,5,NA,5,7,1,NA,0,NA,2,7,7,1,1,1,NA,NA,NA,NA,NA,4,4,4,4,1,Getting an idea on how people are seeing others and the ways of the world in regards to the treatment of people,2,61b186af-fc94-3785-4c55-2fc8e41cf823,FL_35,ACB|AWB,ChristianRealistic|RacialRealistic|ChristianSymbolic|RacialSymbolic,None,0,Yes,Yes,6.166666667,7,6,6.875,2.666666667,6.5,6.4,6.333333333,7,3.4,5.8
