StartDate,EndDate,Progress,Duration..in.seconds.,Finished,RecordedDate,UserLanguage,Q_RecaptchaScore,ConsentQuestion,Age18,Age_1,US,SES,Employed,Employed_5_TEXT,Religion,Religion_11_TEXT,Education,Race,Race_8_TEXT,Q174,Q175,Q176,ACBMC1,ACBMC2,Q177,Q178,Q179,AWBMC1,AWBMC2,Q181,Q182,Q183,ABBMC1,ABBMC2,AWB1,AWB2,AWB3,AWB4,AWB5,AWB6,Attention,AWB7,ACB1,ACB2,ACB3,ACB4,ACB5,ACB6,ACB7,ABB1,ABB2,ABB3,ABB4,ABB5,ABB6,ABB7,CN1,CN2,CN3,CN4,CN5,CN6,CN7,ACBMC3,AWBMC3,ABBMC3,Persuasive,Summary,ChristWhite_1,ChristBlack_1,BlackChrist_1,WhiteChrist_1,CeqW,CeqB,AeqW,AeqB,CeqA,WeqA,BeqA,WCeqA,BCeqA,AeqA,BAeqA,WAeqA,LGBTQD1,LGBTQD2,LGBTQD3,LGBTQD4,LGBTQD5,LGBTQD6,VS1,VS2,VS3,VS4,SE1,SE2,SE3,SE4,SE5,RaceTeaching1,RaceTeaching2,RaceTeaching3,Surveil1,Surveil2,Surveil3,Defund1,Defund2,Defund3,Defund4,CID1,CID2,WID1,WID2,BID1,BID2,Conservatism,Denomination,Denomination_5_TEXT,Fundamentalist,FundamentalismCont,Evangelical,Gender,Gender_4_TEXT,Sexual_Orientation,Sexual_Orientation_4_TEXT,Trans,Similar,AssumeChristWhiteYes,AssumeWhiteChristYes,AssumeBlackChristYes,AssumeChristWhite,AssumeWhiteChrist,AssumeBlackChrist,Study_Summary,Participant_Experien,gc,term,Ethnicity,LS,FL_4_DO,FL_6_DO,FL_9_DO,FL_10_DO,FL_12_DO,Percentages_DO,PercentagesRaceChristian_DO,ReligionRaceCircleOverlap2_DO,TrueAmericanCircle2_DO,minutes,B,W,Black,White,Bias,Biasn,AntiChristianBias,AntiWhiteBias,AntiBlackBias,ChristianNationalism,LGBTQDiscrim,VotingSupression,SelfEsteem,AvoidRaceTeaching,MuslimSurveillance,DefundPolice,ChristianID,WhiteID,BlackID
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,User Language,Q_RecaptchaScore,Do you consent to answer questions to the best of your ability?,Are you at least 18 years old?,What is your age? - Age,Do you currently live in the United States?,What is your yearly household income?,Are you employed? - Selected Choice,Are you employed? - Other: - Text,"What is your present religion, if any? - Selected Choice","What is your present religion, if any? - Something else: - Text",What best describes the highest level of education you have completed?,What is your race/ethnicity? (Check all that apply) - Selected Choice,What is your race/ethnicity? (Check all that apply) - Other (please specify): - Text,How would you describe your memory?,Do you have trouble focusing?,"When learning and memorizing information, do you prefer information to be presented in an auditory or visual format?",Which of the following did the article NOT discuss?,"According to the article, many Christians perceive bias in the U.S.",How would you describe your memory?,Do you have trouble focusing?,"When learning and memorizing information, do you prefer information to be presented in an auditory or visual format?",Which of the following did the article NOT discuss?,"According to the article, many White people perceive bias in the U.S.",How would you describe your memory?,Do you have trouble focusing?,"When learning and memorizing information, do you prefer information to be presented in an auditory or visual format?",Which of the following did the article NOT discuss?,"According to the article, many Black people perceive bias in the U.S.",White people are victims of prejudice in the U.S.,White people's freedoms are restricted as a result of discrimination in the U.S.,Discrimination against White people is on the rise in the U.S.,White people do not experience racial bias in the U.S.,The tables have turned; White people are now likely to experience discrimination,Recent efforts to achieve racial equality have disadvantaged White people,Please select 5 to show that you're paying attention. Thank you.,White people face more bias and discrimination than most groups in America,Christians are victims of prejudice in the U.S.,Christians' freedoms are restricted as a result of discrimination in the U.S.,Christians are unlikely to be victims of religious discrimination in the U.S.,Discrimination against Christians is on the rise in the U.S.,Christians do not have as many freedoms as non-Christians in the U.S.,Christians do not experience religious bias in the U.S.,Christians face more bias and discrimination than most groups in America,Black people are victims of prejudice in the U.S.,Black people's freedoms are restricted as a result of discrimination in the U.S.,Black people are unlikely to be victims of racial discrimination in the U.S.,Discrimination against Black people is on the rise in the U.S.,Black people do not have as many freedoms as non-Black people in the U.S.,Black people do not experience racial bias in the U.S.,Black people face more bias and discrimination than most groups in America,The federal government should declare the United States a Christian Nation,The federal government should advocate Christian values,The federal government should allow the display of religious symbols in public spaces,The federal government should allow prayer in public schools,The success of the United States is part of God’s plan,The federal government should enforce a strict separation of church and state,I consider founding documents like the Declaration of Independence and the U.S. Constitution to be divinely inspired,Which of the following did the article discuss?,Which of the following did the article discuss?,Which of the following did the article discuss?,How persuasive was the article you read at the beginning of the study?,"Please provide a short, one-sentence summary of the article:",What percentage of true Christians in the U.S. do you think are White? - Percent,What percentage of true Christians in the U.S. do you think are Black? - Percent,What percentage of Black people in the U.S. do you think are Christian? - Percent,What percentage of White people in the U.S. do you think are Christian? - Percent,Please select the image that best describes the relationship between being truly Christian and being truly White.,Please select the image that best describes the relationship between being truly Christian and being truly Black.,Please select the image that best describes the relationship between being truly Atheist and being truly White.,Please select the image that best describes the relationship between being truly Atheist and being truly Black.,Please select the image that best describes the relationship between being Christian and being a true American.,Please select the image that best describes the relationship between being White and being a true American.,Please select the image that best describes the relationship between being Black and being a true American.,Please select the image that best describes the relationship between being a White Christian and being a true American.,Please select the image that best describes the relationship between being a Black Christian and being a true American.,Please select the image that best describes the relationship between being an Atheist and being a true American.,Please select the image that best describes the relationship between being a Black Atheist and being a true American.,Please select the image that best describes the relationship between being a White Atheist and being a true American.,Children should not be taught about sexual orientation or gender identity in schools,Transgender people should use the bathroom that corresponds with their sex assigned at birth,Transgender women should not be able to play women’s sports,Religious people should have the right to refuse service to LGBT people when it goes against their religious values,It is wrong for doctors to administer puberty blockers or other gender affirming treatments to transgender children,The U.S. Supreme Court should overturn the legalization of gay marriage,Felons should not be allowed to vote in U.S. elections,Voters should have to provide more proof of their identity,It should be easier to vote in the U.S.,The U.S. should automatically register voters,"On the whole, I am satisfied with myself",I feel that I have a number of good qualities,I feel I do not have much to be proud of,I certainly feel useless at times,"All in all, I am inclined to feel that I am a failure",Critical Race Theory should not be taught to children in school,Elementary schools should avoid topics related to race,Books that advocate critical race theories should not be in schools,Increased surveillance of Arabs in the U.S. is necessary to avoid terrorist attacks,"To ensure public safety, the U.S. must surveil Muslims/Mosques in particular",Ordinary Americans need to keep a watchful eye on their Muslim neighbors,Police budgets are far larger than necessary,Increasing funding to police does not increase safety,The bulk of police funding could be better spent elsewhere,Police should be supported,My religion is an important reflection of who I am,"In general, my religion is an important part of my self-image",Being White is an important reflection of who I am,"In general, being White is an important part of my self-image",Being Black is an important reflection of who I am,"In general, being Black is an important part of my self-image","In general, do you think of yourself as _______?",What best describes your denomination? - Selected Choice,What best describes your denomination? - Other: - Text,Do you consider yourself a fundamentalist Christian (a fundamentalist Christian is someone who believes in the literal truth of the Bible)?,Which of these statements most closely describes your view of the Bible,"Would you describe yourself as ""born-again"" and/or an evangelical Christian?",What most closely describes your gender identity? - Selected Choice,What most closely describes your gender identity? - Prefer to self-describe - Text,How do you identify in terms of sexual orientation? - Selected Choice,How do you identify in terms of sexual orientation? - Prefer to self-describe - Text,Are you transgender?,Have you completed a study similar to this one previously?,"When you read about Christians who feel discriminated against, did you make any assumptions about the racial group these Christians belonged to?","When you read about White people who feel discriminated against, did you make any assumptions about the religious group these White people belonged to?","When you read about Black people who feel discriminated against, did you make any assumptions about the religious group these Black people belonged to?","When you read about Christians who feel discriminated against, what racial group did you assume most of these Christians belonged to?","When you read about White people who feel discriminated against, what religious group did you assume most of these White people belonged to?","When you read about Black people who feel discriminated against, what religious group did you assume most of these Black people belonged to?",Why do you think this study was conducted?,Feel free to tell us anything else you would like about your experiences with this study,gc,term,Ethnicity,LS,FL_4 - Block Randomizer - Display Order,FL_6 - Block Randomizer - Display Order,FL_9 - Block Randomizer - Display Order,FL_10 - Block Randomizer - Display Order,FL_12 - Block Randomizer - Display Order,Percentages - Display Order,Percentages Race Christian - Display Order,Religion Race Circle Overlap 2 - Display Order,True American Circle 2 - Display Order,Duration (in seconds),,,,,,,,,,,,,,,,,,,
6/20/22 15:30,6/20/22 15:36,100,371,1,6/20/22 15:36,EN,0.899999976,1,1,44,1,3,1,NA,1,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,1,1,3,5,1,1,1,7,1,1,1,1,1,1,1,1,1,1,4,1,3,5,5,4,3,5,NA,NA,NA,NA,NA,50,50,75,70,3,3,2,2,4,4,4,4,2,1,2,4,1,7,7,1,7,1,1,7,4,1,5,7,1,5,1,7,7,7,1,1,1,1,1,1,7,5,5,1,1,NA,NA,7,1,NA,0,3,0,2,NA,1,NA,0,3,NA,NA,NA,NA,NA,NA,O do not know.,NA,1,NA,White,711,ControlBlock,FL_84|Anti-ChristianBias|Anti-BlackBias,PercentagesRaceChristian|Percentages,ReligionRaceCircleOverlap2|TrueAmericanCircle2,Self-Esteem|VoterSuppression|DefundPolice|TeachingRaceinSchools|MuslimSurveillanceAttitudes,Q76|ChristWhite|ChristBlack,Q189|BlackChrist|WhiteChrist,Q1|CeqW|AeqW|AeqB|CeqB,Q203|WCeqA|WAeqA|BAeqA|BCeqA|CeqA|WeqA|BeqA|AeqA,6.183333333,non-Black,White,White,White,None,0,1.857142857,2.571428571,3.142857143,3.714285714,4,3.25,2.2,7,1,1,5,1,NaN
6/20/22 15:29,6/20/22 15:38,100,514,1,6/20/22 15:38,EN,0.899999976,1,1,63,1,3,4,NA,1,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,5,3,5,4,5,3,5,5,4,6,4,2,2,5,4,2,3,4,2,4,2,4,5,5,2,3,2,NA,NA,NA,NA,NA,44,42,70,66,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,7,6,3,7,4,5,3,4,7,3,7,5,4,4,4,3,4,4,4,6,5,5,6,5,4,4,NA,NA,4,2,NA,0,2,0,1,NA,1,NA,0,2,NA,NA,NA,NA,NA,NA,To get views on religion and gender identity,Easy and straightforward,1,NA,White,711,ControlBlock,Anti-ChristianBias|FL_84|Anti-BlackBias,PercentagesRaceChristian|Percentages,ReligionRaceCircleOverlap2|TrueAmericanCircle2,Self-Esteem|VoterSuppression|MuslimSurveillanceAttitudes|DefundPolice|TeachingRaceinSchools,Q76|ChristBlack|ChristWhite,Q189|BlackChrist|WhiteChrist,Q1|AeqB|CeqB|CeqW|AeqW,Q203|BAeqA|BCeqA|BeqA|WeqA|WCeqA|CeqA|WAeqA|AeqA,8.566666667,non-Black,White,White,White,None,0,4.571428571,4.142857143,4.571428571,3.285714286,5.333333333,3.25,4,4,3.666666667,4.5,5.5,4,NaN
6/20/22 15:35,6/20/22 15:40,100,289,1,6/20/22 15:40,EN,NA,1,1,21,1,2,1,NA,1,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,1,1,5,1,5,1,3,4,3,3,3,3,6,5,4,5,4,5,3,1,3,3,4,5,2,NA,NA,NA,NA,NA,42,50,50,50,1,1,3,4,2,4,4,2,2,2,1,1,4,4,6,4,3,5,5,5,4,1,5,7,1,4,3,4,4,4,5,7,3,5,3,5,4,5,5,NA,NA,4,4,5,4,NA,0,2,0,3,NA,2,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,Black,711,ControlBlock,FL_84|Anti-ChristianBias|Anti-BlackBias,PercentagesRaceChristian|Percentages,TrueAmericanCircle2|ReligionRaceCircleOverlap2,VoterSuppression|MuslimSurveillanceAttitudes|DefundPolice|Self-Esteem|TeachingRaceinSchools,Q76|ChristWhite|ChristBlack,Q189|BlackChrist|WhiteChrist,Q1|CeqB|CeqW|AeqW|AeqB,Q203|CeqA|WeqA|BCeqA|AeqA|BAeqA|WAeqA|WCeqA|BeqA,4.816666667,Black,non-exclusive-White,Black,Black,None,0,3.714285714,1.857142857,4.285714286,2.428571429,4.333333333,2.75,2.4,4,5,4.25,5,NaN,4
6/20/22 15:31,6/20/22 15:40,100,547,1,6/20/22 15:40,EN,1,1,1,40,1,2,2,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,2,5,4,5,4,6,2,4,7,4,4,2,7,7,2,6,6,2,4,3,4,4,4,4,4,4,NA,NA,NA,NA,NA,18,38,50,48,2,4,1,1,4,1,5,1,5,1,1,1,4,4,3,1,5,1,2,2,6,7,2,3,2,6,5,4,4,3,2,2,1,4,4,4,4,2,3,1,1,NA,NA,4,3,NA,1,3,1,1,NA,1,NA,0,3,NA,NA,NA,NA,NA,NA,Interesting,Nothing,1,NA,White,711,ControlBlock,Anti-BlackBias|FL_84|Anti-ChristianBias,Percentages|PercentagesRaceChristian,TrueAmericanCircle2|ReligionRaceCircleOverlap2,DefundPolice|VoterSuppression|Self-Esteem|TeachingRaceinSchools|MuslimSurveillanceAttitudes,Q76|ChristWhite|ChristBlack,Q189|WhiteChrist|BlackChrist,Q1|AeqW|CeqB|AeqB|CeqW,Q203|WeqA|WCeqA|BeqA|BAeqA|BCeqA|WAeqA|AeqA|CeqA,9.116666667,non-Black,White,White,White,None,0,4.142857143,4.571428571,6,3.571428571,3,6.25,4.8,3.666666667,1.666666667,4,2.5,1,NaN
6/20/22 15:29,6/20/22 15:41,100,717,1,6/20/22 15:41,EN,0.899999976,1,1,67,1,2,4,NA,1,NA,3,1,NA,10,4,11,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,6,2,2,5,1,7,7,1,7,7,1,7,7,7,1,5,7,1,7,5,5,5,5,5,1,5,4,NA,NA,7,It’s all true,53,54,45,79,3,3,1,1,4,5,5,4,3,1,1,1,7,7,4,2,7,7,7,7,1,1,7,7,1,1,1,7,7,6,4,4,4,1,4,4,7,7,7,7,7,NA,NA,4,2,NA,0,3,0,1,NA,1,NA,0,3,2,NA,NA,NA,NA,NA,It’s contributing largely to the decline of ghe country,NA,1,NA,White,711,Anti-ChristianBlock,Anti-ChristianBias|FL_84|Anti-BlackBias,Percentages|PercentagesRaceChristian,TrueAmericanCircle2|ReligionRaceCircleOverlap2,MuslimSurveillanceAttitudes|DefundPolice|Self-Esteem|TeachingRaceinSchools|VoterSuppression,Q76|ChristWhite|ChristBlack,Q189|BlackChrist|WhiteChrist,Q1|AeqB|AeqW|CeqB|CeqW,Q203|WeqA|BAeqA|AeqA|WAeqA|BeqA|BCeqA|WCeqA|CeqA,11.95,non-Black,White,White,White,Christian,1,7,2,6.714285714,5,5.666666667,1,1,6.666666667,4,2.5,7,7,NaN
6/20/22 15:30,6/20/22 15:42,100,748,1,6/20/22 15:42,EN,0.899999976,1,1,39,1,3,1,NA,1,NA,4,1,NA,8,6,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,4,5,4,4,4,4,4,4,4,2,NA,NA,5,I think it was a direct statement,49,23,16,22,2,4,2,2,2,2,2,2,2,2,2,3,5,3,3,4,3,3,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,4,5,5,5,5,5,4,5,NA,NA,6,1,NA,1,4,1,1,NA,1,NA,0,3,1,NA,NA,5,NA,NA,Research,Thanks,1,NA,White,711,Anti-ChristianBlock,FL_84|Anti-BlackBias|Anti-ChristianBias,Percentages|PercentagesRaceChristian,ReligionRaceCircleOverlap2|TrueAmericanCircle2,DefundPolice|TeachingRaceinSchools|Self-Esteem|VoterSuppression|MuslimSurveillanceAttitudes,Q76|ChristWhite|ChristBlack,Q189|WhiteChrist|BlackChrist,Q1|CeqB|AeqW|CeqW|AeqB,Q203|BeqA|WAeqA|AeqA|BAeqA|BCeqA|CeqA|WCeqA|WeqA,12.46666667,non-Black,White,White,White,Christian,1,4.428571429,4.571428571,4.428571429,3.714285714,3.5,4,4,4,3.666666667,4.25,5,4.5,NaN
6/20/22 15:29,6/20/22 15:42,100,782,1,6/20/22 15:42,EN,1,1,1,55,1,3,4,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,4,5,4,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,3,4,4,5,4,5,4,NA,NA,4,3,Discrimination of blacks in America.,80,40,40,70,4,3,1,1,4,4,3,4,4,1,1,1,1,7,7,7,7,5,7,7,1,1,7,7,1,1,1,7,7,7,1,1,1,1,1,1,7,7,7,1,1,NA,NA,7,2,NA,0,3,0,2,NA,1,NA,0,3,NA,NA,2,NA,NA,NA,To get a perspective on racism.,NA,1,NA,White,711,Anti-BlackBlock,Anti-ChristianBias|FL_84|Anti-BlackBias,Percentages|PercentagesRaceChristian,ReligionRaceCircleOverlap2|TrueAmericanCircle2,DefundPolice|VoterSuppression|TeachingRaceinSchools|Self-Esteem|MuslimSurveillanceAttitudes,Q76|ChristWhite|ChristBlack,Q189|BlackChrist|WhiteChrist,Q1|AeqB|CeqB|CeqW|AeqW,Q203|WAeqA|AeqA|WCeqA|WeqA|BAeqA|BeqA|CeqA|BCeqA,13.03333333,non-Black,White,White,White,Black,3,2.714285714,1.857142857,1.857142857,3.571428571,5.666666667,1,1,7,1,1,7,1,NaN
6/20/22 15:29,6/20/22 15:44,100,848,1,6/20/22 15:44,EN,0.899999976,1,1,58,1,3,4,NA,1,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,3,7,5,5,1,2,1,6,2,1,7,2,7,7,1,7,6,1,6,1,1,1,1,4,5,2,NA,NA,NA,NA,NA,58,31,31,58,3,2,1,1,3,4,4,4,4,2,1,2,4,2,3,1,4,1,1,7,7,7,6,6,1,4,1,1,1,1,2,2,1,3,7,5,7,4,4,3,5,NA,NA,2,2,NA,0,2,0,1,NA,3,NA,0,3,NA,NA,NA,NA,NA,NA,To show that America is a biased country.,It felt a little bias on race and religion which is scary,1,NA,White,711,ControlBlock,Anti-ChristianBias|Anti-BlackBias|FL_84,Percentages|PercentagesRaceChristian,ReligionRaceCircleOverlap2|TrueAmericanCircle2,MuslimSurveillanceAttitudes|TeachingRaceinSchools|DefundPolice|VoterSuppression|Self-Esteem,Q76|ChristBlack|ChristWhite,Q189|WhiteChrist|BlackChrist,Q1|AeqW|AeqB|CeqB|CeqW,Q203|BAeqA|BeqA|BCeqA|WeqA|CeqA|WCeqA|WAeqA|AeqA,14.13333333,non-Black,White,White,White,None,0,1.571428571,3.428571429,6.714285714,1.571428571,2.5,5.5,2,1,1.666666667,4,4,4,NaN
6/20/22 15:34,6/20/22 15:44,100,603,1,6/20/22 15:44,EN,0.899999976,1,1,36,1,3,1,NA,1,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,6,4,4,5,4,5,5,2,5,6,1,4,6,4,2,4,5,2,5,3,5,5,5,5,3,4,NA,NA,NA,NA,NA,60,20,50,40,3,4,4,3,2,3,3,2,3,2,2,4,7,5,7,3,7,5,4,6,3,4,7,7,3,5,2,4,3,4,4,3,2,3,3,2,7,7,7,2,2,NA,NA,6,1,NA,0,3,1,1,NA,1,NA,0,3,NA,NA,NA,NA,NA,NA,I believe this was conducted to find out the racial and societal views of Christians in America and how they feel about LGBTQ community,"I think these were good questions to be asking because sometimes people believe that Christian = against everything, whereas it is actually pretty inclusive and loving, but not necessarily accepting of the value system behind things.",1,NA,White,711,ControlBlock,Anti-BlackBias|FL_84|Anti-ChristianBias,PercentagesRaceChristian|Percentages,ReligionRaceCircleOverlap2|TrueAmericanCircle2,VoterSuppression|TeachingRaceinSchools|MuslimSurveillanceAttitudes|DefundPolice|Self-Esteem,Q76|ChristBlack|ChristWhite,Q189|WhiteChrist|BlackChrist,Q1|AeqB|CeqB|CeqW|AeqW,Q203|WeqA|CeqA|BeqA|WCeqA|WAeqA|BCeqA|AeqA|BAeqA,10.05,non-Black,White,White,White,None,0,5.428571429,2.857142857,5.142857143,4.285714286,5.666666667,3.25,2.4,3.666666667,3,2.25,7,2,NaN
6/20/22 15:36,6/20/22 15:45,100,542,1,6/20/22 15:45,EN,0.899999976,1,1,34,1,3,1,NA,1,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,1,6,5,5,6,4,1,1,1,1,1,1,6,6,1,1,1,1,1,5,5,5,5,5,3,5,NA,NA,NA,NA,NA,100,75,62,93,3,1,3,2,1,5,1,5,5,5,1,5,7,7,7,7,7,7,1,1,1,5,6,6,2,6,4,2,2,2,4,5,3,1,3,4,6,6,6,6,6,NA,NA,6,1,NA,1,4,1,1,NA,1,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,White,711,ControlBlock,Anti-ChristianBias|FL_84|Anti-BlackBias,PercentagesRaceChristian|Percentages,ReligionRaceCircleOverlap2|TrueAmericanCircle2,VoterSuppression|MuslimSurveillanceAttitudes|DefundPolice|TeachingRaceinSchools|Self-Esteem,Q76|ChristWhite|ChristBlack,Q189|WhiteChrist|BlackChrist,Q1|CeqB|AeqB|CeqW|AeqW,Q203|AeqA|BAeqA|CeqA|WeqA|BeqA|WCeqA|BCeqA|WAeqA,9.033333333,non-Black,White,White,White,None,0,3.142857143,6.428571429,4.142857143,4.714285714,7,5,3.2,2,4,2.5,6,6,NaN
