StartDate,EndDate,Progress,Duration..in.seconds.,Finished,RecordedDate,UserLanguage,Q_RecaptchaScore,race,race_10_TEXT,age,gender,edu,usa,eng,rel_aff,rel_aff_13_TEXT,evang,religio,polaff,polaff_4_TEXT,pol_rd,ideo,CN_1,CN_2,CN_3,CN_4,CN_5,CN_6,SLB_12,SLB_11,SLB_10,SLB_9,SLB_8,SLB_7,SLB_6,SLB_5,SLB_4,SLB_3,SLB_2,SLB_1,reflect,manchk,WhiteBias_Concern,RelFreedom_Concern,ChristBias_Concern,AP_THERM._1,AP_ELECT,OCI_1,OCI_2,OCI_3,OCI_4,PBOC_1,PBOC_2,PBOC_3,PBOC_4,Fight4Christian,Fight4White,Fight4Black,Fight4Muslims,Fight4Jews,Fight4NonRelig,Fight4Latin,AP_POLID,AP_GEN_1,AP_IDEO,AP_RACE_1,AP_RELAFF_1,ATTCHK,PQ_RACE_1,PQ_RACE_2,PQ_RACE_3,PQ_LGBT_4,PQ_LGBT_5,PQ_LGBT_6,PQ_REL_7,PQ_REL_8,PQ_REL_9,PQ_REL_10,PQ_REL_11,PQ_N_12,PQ_N_13,PQ_N_14,PQ_N_15,Q114,aid,FL_6_DO,PerceivedBias_DO
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,User Language,Q_RecaptchaScore,What is your racial/ethnic identity? - Selected Choice,What is your racial/ethnic identity? - Other - Text,Please enter your age.,What is your gender identity?,What is the highest level of education you have completed?,Were you born in the US?,Is English your first/primary language?,What is your religious affiliation? - Selected Choice,What is your religious affiliation? - Other (please specify) - Text,"If you answered Christian as your religion, do you identify as evangelical?",How religious do you consider yourself?,What is your political party affiliation? - Selected Choice,What is your political party affiliation? - Other (please specify) - Text,Which political party do you tend to lean toward more?,How would you describe your political ideology?,The federal government should declare the United States a Christian Nation,The federal government should advocate Christian values,The federal government should allow the display of religious symbols in public spaces,The federal government should allow prayer in public schools,The success of the United States is part of God’s plan,The federal government should enforce a strict separation of church and state,"Even if people work hard, they don’t always get ahead","In America, getting ahead doesn’t always depend on hard work",Most people who don’t get ahead should not blame the system; they really have only themselves to blame,If people work hard they almost always get what they want,Individual members of certain ethnic groups are often unable to advance in American society,Individual members of a low-status ethnic group have difficulty achieving higher status,Advancement in American society is possible for individuals of all ethnic groups,America is an open society where individuals of any ethnicity can achieve higher status,It is unfair that certain ethnic groups have poorer living conditions than other ethnic groups,Differences in status between ethnic groups are the result of injustice,Differences in status between ethnic groups are fair,America is a just society where differences in status between ethnic groups reflect actual group differences,Write a brief summary of the interview excerpt that you read.,What did you just read?,To what extent do you think the politician is concerned about bias against White people in the U.S.,To what extent do you think the politician is concerned about religious freedom in the U.S.,To what extent do you think the politician is concerned about bias against Christians in the U.S.,How cold or warm do you feel toward the politician? - (thermometer 0 = cold to 100 = warm),How electable do you think the politician is?,This statement was offensive.,I think many people would be offended by this statement.,This statement made me feel uncomfortable.,This statement is incredibly controversial.,This politician sounds like a polarizing figure.,The politician seems like they would be well-liked.,Many people would be angered by this politician.,This politician probably says many controversial things.,Christians,White People,Black People,Muslims,Jews,Non-religious,Latino/as,What political group do you think the politician is affiliated with?,"Using the slider, please answer the following question. - What do you think the politician's gender identity is?",How liberal or conservative do you think the politician is?,"Using the slider, please answer the following question. - What do you think the politician's racial identity is?","Using the slider, please answer the following question. - What do you think the politician's religious identity is?","If you are paying attention, select 'strongly agree'",Protecting race-based affirmative action policies,Enacting police reforms advocated for by the Black Lives Matter movement,Restoring voter protections for racial minorities from the Civil Rights Act,Banning discrimination of LGBT in hiring,"Expanding children’s access to gender-affirming care (i.e., assisting children in gender transitions)",Allowing people to use the bathroom corresponding with their gender identification (rather than sex),Allow Muslim prayer in public schools,Allow Christian prayer in public schools,Eliminating tax-exemptions for religious organizations (making churches and religious organizations pay taxes),Increasing police surveillance of some Muslim communities,Protecting abortion access,Limiting usage of fossil fuels (like gas) to fight climate change,Increasing budget for education,Decreasing military spending,Increasing gun regulations,"If you would like to leave the survey team any feedback, please do so below.",aid,FL_6 - Block Randomizer - Display Order,Perceived Bias - Display Order
2/6/23 10:50,2/6/23 10:52,100,128,1,2/6/23 10:52,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condition1:WhiteBias,PBRF_1|PBC_1|PBW_1
2/6/23 10:53,2/6/23 10:55,100,119,1,2/6/23 10:55,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condition2:ChristianBias,PBRF_1|PBW_1|PBC_1
2/6/23 10:58,2/6/23 11:15,100,1023,1,2/6/23 11:15,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,testWorker,Condition4:Economy(Control) ,PBRF_1|PBW_1|PBC_1
2/6/23 11:32,2/6/23 11:34,100,160,1,2/6/23 11:34,EN,1,1,NA,45,1,3,1,1,1,NA,2,5,3,NA,1,4,3,1,2,3,4,3,4,2,5,3,5,5,4,5,5,4,6,4,I'll take over our mind and our brains and you would never survive,1,4,5,5,50,5,5,5,3,4,5,4,4,3,4,5,3,5,5,3,4,3,4,4,4,4,2,4,4,5,5,3,4,5,3,6,3,4,5,4,6,3,NA,63e1475c-6bf7-fcba-4940-24be4e272aa6,Condition1:WhiteBias,PBW_1|PBRF_1|PBC_1
2/6/23 11:32,2/6/23 11:35,100,228,1,2/6/23 11:35,EN,0.899999976,1,NA,28,1,5,1,1,1,NA,2,5,1,NA,NA,6,4,4,4,4,4,4,6,7,2,2,2,2,2,3,4,1,4,4,That race matters in society,1,6,6,5,43,3,5,5,5,6,3,3,5,4,5,4,4,4,4,6,4,3,4,4,4,3,7,3,3,4,2,2,4,2,2,2,2,1,6,6,5,6,NA,63e1474d-f47d-83a8-46ea-614b20b16906,Condition3:ReligiousFreedom,PBW_1|PBC_1|PBRF_1
2/6/23 11:34,2/6/23 11:37,100,180,1,2/6/23 11:37,EN,0.800000012,1,NA,41,2,2,1,1,3,NA,NA,4,2,NA,NA,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,I’m not sure,1,4,4,4,28,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,63e147d1-2186-d705-668a-7aeda6044909,Condition4:Economy(Control) ,PBW_1|PBC_1|PBRF_1
2/6/23 11:31,2/6/23 11:38,100,384,1,2/6/23 11:38,EN,0.899999976,1,NA,36,1,5,1,1,1,NA,1,6,2,NA,NA,4,7,7,7,7,6,7,6,7,4,4,5,5,7,5,7,7,1,1,It’s an article on how to combat hate against Christians.,1,1,5,7,85,7,1,1,1,1,1,7,3,1,7,5,6,5,6,4,5,2,4,3,6,7,7,1,5,7,7,1,1,1,7,2,3,7,7,7,7,7,NA,63e14773-fb9b-5c1d-3b36-2179d515553a,Condition2:ChristianBias,PBW_1|PBRF_1|PBC_1
2/6/23 11:32,2/6/23 11:38,100,342,1,2/6/23 11:38,EN,1,1,NA,52,2,3,1,1,1,NA,1,7,1,NA,NA,4,4,4,7,7,4,4,4,7,4,4,4,4,7,7,7,4,4,4,That freedom of religion is being taken away from us.,4,1,7,7,50,4,4,6,4,6,4,4,6,4,7,4,4,4,4,4,4,1,6,6,6,6,7,4,4,4,7,1,1,4,7,1,4,1,4,4,4,4,It was interesting,63e14753-db49-6b79-de36-9872ab184f97,Condition3:ReligiousFreedom,PBW_1|PBC_1|PBRF_1
2/6/23 11:36,2/6/23 11:38,100,147,1,2/6/23 11:39,EN,1,1,NA,57,2,5,1,1,3,NA,NA,6,1,NA,NA,6,5,4,4,4,5,5,6,5,6,6,6,5,6,6,7,5,6,5,Everything,1,7,6,4,87,6,6,5,6,6,6,4,5,6,4,4,7,3,6,4,4,1,5,7,6,6,7,6,5,6,7,6,5,7,5,4,6,2,6,6,5,7,NA,63e14857-4f93-a32a-2e8d-6f9868c35130,Condition2:ChristianBias,PBW_1|PBC_1|PBRF_1
2/6/23 11:32,2/6/23 11:39,100,399,1,2/6/23 11:39,EN,1,1,NA,58,2,2,1,1,2,NA,NA,2,2,NA,NA,1,4,4,5,5,5,4,5,7,1,1,2,2,5,5,3,2,4,4,All about people trying to take advantage,1,4,4,4,NA,1,5,5,5,5,4,2,5,5,7,4,4,4,5,5,3,2,7,7,NA,1,7,5,5,6,1,4,5,3,5,7,5,7,7,5,1,7,No,63e1475d-1ae1-c858-cd46-8f967edea356,Condition2:ChristianBias,PBC_1|PBW_1|PBRF_1
2/6/23 11:36,2/6/23 11:39,100,157,1,2/6/23 11:39,EN,0.899999976,1,NA,18,1,2,1,2,1,NA,1,2,1,NA,NA,3,2,5,4,3,6,4,5,2,2,2,5,2,4,6,5,2,3,3,I think it is very impaornat in the way of life and people need to keep doing it and stay stronge,2,1,6,5,75,2,5,2,6,6,4,3,6,1,4,5,4,4,3,5,6,1,6,4,6,6,2,4,7,6,4,3,4,6,4,5,6,6,6,3,5,5,Thank u,63e148a0-d6b8-d312-e92d-238eb0ef77ad,Condition1:WhiteBias,PBC_1|PBRF_1|PBW_1
