StartDate,EndDate,Progress,Duration..in.seconds.,Finished,RecordedDate,UserLanguage,Q_RecaptchaScore,race,race_10_TEXT,age,gender,edu,usa,eng,rel_aff,rel_aff_13_TEXT,evang,religio,polaff,polaff_4_TEXT,pol_rd,ideo,manchk_wb,manchk2_wb,manchk_cb,manchk2_cb,manchk_ec,Q128,WhiteBias_Concern1,WhiteBias_Concern2,ChristianBias_Concern1,ChristianBias_Concern2,BlackBias_Concern1,BlackBias_Concern2,AP_1_1,AP_2,AP_3,AP_5_1,AP_6_1,AP_7,OCI_1,OCI_2,OCI_3,OCI_4,Fight4Christians,Fight4White,Fight4Black,Fight4Muslims,Fight4Jews,Fight4Atheists,Fight4Latin,wcp_1_1,wcp_2,wcp_3,wcp_4,wcp_5,wcp_6,FL_6_DO,Condition_Christ,Condition_White,Condition
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,User Language,Q_RecaptchaScore,What is your racial/ethnic identity? - Selected Choice,What is your racial/ethnic identity? - Other - Text,Please enter your age.,What is your gender identity?,What is the highest level of education you have completed?,Were you born in the US?,Is English your first/primary language?,What is your religious affiliation? - Selected Choice,What is your religious affiliation? - Other (please specify) - Text,"If you answered Christian as your religion, do you identify as evangelical?",How religious do you consider yourself?,What is your political party affiliation? - Selected Choice,What is your political party affiliation? - Other (please specify) - Text,Which political party do you tend to lean toward more?,How would you describe your political ideology?,What did you just read?,What did you just read?,What did you just read?,What did you just read?,What did you just read?,What did you just read?,To what extent do you think the politician is concerned about bias against White people in the U.S.,I feel the politician will fight hard to reduce bias against White people in the U.S.,To what extent do you think the politician is concerned about bias against Christians in the U.S.,I feel the politician will fight hard to reduce bias against Christians in the U.S.,To what extent do you think the politician is concerned about bias against Black people in the U.S.,I feel the politician will fight hard to reduce bias against Black people in the U.S.,How do you feel toward the politician? - (thermometer 0 = cold to 100 = warm),How liberal or conservative do you think the politician is?,What political group do you think the politician is affiliated with?,What do you think the politician's racial identity is?,What do you think the politician's religious identity is?,How electable do you think the politician is?,This statement was offensive.,I think many people would be offended by this statement.,This statement made me feel uncomfortable.,This statement would be incredibly controversial.,Christians,White People,Black People,Muslims,Jews,Atheists,Latino/as,How would White Christians feel toward the politician? - (thermometer 0 = cold to 100 = warm),How electable would White Christians think the politician is?,To what extent would White Christians believe the politician is concerned about bias against White people in the U.S.,White Christians would believe the politician will fight hard to reduce bias against White people in the U.S.,To what extent would White Christians believe the politician is concerned about bias against Christians in the U.S.?,White Christians believe the politician will fight hard to reduce bias against Christians in the U.S.,FL_6 - Block Randomizer - Display Order,,,
4/21/23 17:13,4/21/23 17:15,100,83,1,4/21/23 17:15,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condition2:ChristianBias,Condition2:ChristianBias,Condition2:ChristianBias,Anti-Christian
4/21/23 17:43,4/21/23 17:45,100,100,1,4/21/23 17:45,EN,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condition1:WhiteBias,Condition1:WhiteBias,Condition1:WhiteBias,Anti-White
4/21/23 18:13,4/21/23 18:14,100,72,1,4/21/23 18:14,EN,0.899999976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Control
4/21/23 18:30,4/21/23 18:37,100,373,1,4/21/23 18:37,EN,1,2,NA,60,2,6,1,1,1,NA,2,7,2,NA,NA,5,NA,NA,NA,NA,1,NA,2,4,3,4,4,3,50,3,3,5,4,4,1,1,1,1,3,4,3,3,3,4,3,50,4,3,4,3,3,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Control
4/21/23 18:34,4/21/23 18:39,100,306,1,4/21/23 18:39,EN,1,2,NA,30,1,5,1,1,1,NA,1,7,2,NA,NA,1,1,NA,NA,NA,NA,NA,7,2,1,1,5,5,20,1,2,5,6,6,5,5,2,5,7,7,7,6,5,5,4,100,7,7,5,6,5,Condition1:WhiteBias,Condition1:WhiteBias,Condition1:WhiteBias,Anti-White
4/21/23 18:38,4/21/23 18:41,100,171,1,4/21/23 18:41,EN,0.899999976,2,NA,49,1,6,1,1,1,NA,1,7,1,NA,NA,6,NA,NA,NA,NA,1,NA,1,4,1,4,1,4,93,6,1,4,5,6,1,1,1,1,6,4,4,4,4,4,4,85,6,4,4,4,4,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Condition3:Economy(Control) ,Control
4/21/23 18:34,4/21/23 18:42,100,464,1,4/21/23 18:42,EN,1,2,NA,23,1,4,1,1,1,NA,1,4,2,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,7,7,1,1,50,1,2,5,7,4,2,2,1,2,7,1,1,1,1,1,1,90,6,7,6,7,6,Condition2:ChristianBias,Condition2:ChristianBias,Condition2:ChristianBias,Anti-Christian
4/21/23 18:37,4/21/23 18:43,100,363,1,4/21/23 18:43,EN,1,2,NA,33,2,5,1,1,1,NA,2,4,3,NA,2,4,1,NA,NA,NA,NA,NA,6,6,6,1,1,1,0,4,1,7,2,1,7,7,7,7,1,7,1,1,6,4,1,65,5,3,6,1,2,Condition1:WhiteBias,Condition1:WhiteBias,Condition1:WhiteBias,Anti-White
4/21/23 18:38,4/21/23 18:45,100,423,1,4/21/23 18:45,EN,0.899999976,2,NA,40,1,6,1,1,1,NA,2,6,1,NA,NA,4,1,NA,NA,NA,NA,NA,7,7,4,5,2,1,35,7,2,7,6,3,3,6,3,6,4,7,1,4,2,6,1,50,4,6,6,4,4,Condition1:WhiteBias,Condition1:WhiteBias,Condition1:WhiteBias,Anti-White
