StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ABBMC1,ABBMC2,AWBMC1,AWBMC2,ACBMC1,ACBMC2,ACB1,ACB2,ACB3,ACB4,ACB5,ACB6,AWB1,AWB2,AWB3,AWB4,AWB5,AWB6,AWB7,AWB8,ABB1,ABB2,ABB3,ABB4,ABB5,ABB6,CN1,CN2,CN3,CN4,CN5,CN6,RS1,RS2,RS3,RS4,RS5,RS6,CS1,CS2,CS3,CS4,CS5,CS6,CR1,CR2,CR3,CR4,CR5,CR6,RR1,RR2,RR3,RR4,Attention,RR5,GB_1,GB_2,GB_3,GB_4,GB_5,GB_6,GB_7,GB_8,GB_9,GB_10,GB_11,GB_12,GB_13,GB_DO,FT_1,FT_2,FT_3,FT_4,FT_5,FT_6,FT_7,FT_8,FT_9,FT_10,FT_11,FT_12,FT_13,FT_DO,SDO1,SDO2,SDO3,SDO4,genbias_1,genfeel_2,Age_1,Christian,E,F,Religion,Religiosity,US,RaceAll,RaceAll_8_TEXT,RaceOne,Politics,SO,SO_5_TEXT,G,G_5_TEXT,T,CID1,CID2,CID3,CID4,CID5,BID1,BID2,BID3,BID4,BID5,WID1,WID2,WID3,WID4,WID5,Q78,Q79,aid,FL_31_DO,FL_38_DO,FL_39_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which of the following did the article NOT discuss?,"According to the article, Black people perceive bias in the U.S.",Which of the following did the article NOT discuss?,"According to the article, White people perceive bias in the U.S.",Which of the following did the article NOT discuss?,"According to the article, Christians perceive bias in the U.S.",Christians are victims of prejudice in the U.S.,Christians' freedoms are restricted as a result of discrimination in the U.S.,Christians are unlikely to be victims of religious discrimination in the U.S.,Discrimination against Christians is on the rise in the U.S.,Christians do not have as many freedoms as non-Christians in the U.S.,Christians do not experience religious bias in the U.S.,White people are victims of prejudice in the U.S.,White people's freedoms are restricted as a result of discrimination in the U.S.,White people are unlikely to be victims of racial discrimination in the U.S.,Discrimination against White people is on the rise in the U.S.,White people do not have as many freedoms as non-White people in the U.S.,White people do not experience racial bias in the U.S.,The tables have turned; White people are now likely to experience discrimination,Recent efforts to achieve racial equality have disadvantaged White people,Black people are victims of prejudice in the U.S.,Black people's freedoms are restricted as a result of discrimination in the U.S.,Black people are unlikely to be victims of racial discrimination in the U.S.,Discrimination against Black people is on the rise in the U.S.,Black people do not have as many freedoms as non-Black people in the U.S.,Black people do not experience racial bias in the U.S.,The federal government should declare the United States a Christian Nation,The federal government should advocate Christian values,The federal government should allow the display of religious symbols in public spaces,The federal government should allow prayer in public schools,The success of the United States is part of God’s plan,The federal government should enforce a strict separation of church and state,I am concerned that my racial group's culture is being undermined in the U.S.,I worry about threats to the values and opinions of my racial group,My racial group's values and opinions are safe in the U.S.,I am worried that people in the U.S. don't respect what people of my racial group have to say,People of my racial group can feel safe expressing their opinions and values in the U.S.,I worry that my racial group is being unfairly censored in the U.S.,I am concerned that Christian culture is being undermined in the U.S.,I worry about threats to my religious values,Christian values are safe in the U.S.,I am worried that people in the U.S. don't respect Christian values,I feel safe expressing Christian values in the U.S.,I worry that Christian morality is under threat in the U.S.,I am concerned about Christians' livelihood in the U.S.,I worry about Christians' physical safety in the U.S.,I feel confident about Christians' economic prospects in the U.S.,I worry that Christian businesses and organizations in the U.S. who stick by their values will face negative repercussions,I worry that certain job options will be blocked to Christians who refuse to compromise their morals,I am concerned that Christian businesses will be boycotted for staying true to their values,I am concerned about my racial group's livelihood in the U.S.,I worry about my racial group's physical safety in the U.S.,I feel confident about my racial group's economic prospects in the U.S.,"I worry that businesses and organizations with ""too many"" members of my racial group will face negative repercussions",Please select 5 to indicate you are paying attention,I worry that people of my racial group will have difficulties getting hired in the future,To what extent do the following groups face bias and discrimination in the United States? - Men,To what extent do the following groups face bias and discrimination in the United States? - Women,To what extent do the following groups face bias and discrimination in the United States? - LGBT people,To what extent do the following groups face bias and discrimination in the United States? - Straight/heterosexual people,To what extent do the following groups face bias and discrimination in the United States? - Muslims,To what extent do the following groups face bias and discrimination in the United States? - White people,To what extent do the following groups face bias and discrimination in the United States? - Hispanic people,To what extent do the following groups face bias and discrimination in the United States? - Conservatives,To what extent do the following groups face bias and discrimination in the United States? - Liberals,To what extent do the following groups face bias and discrimination in the United States? - Black people,To what extent do the following groups face bias and discrimination in the United States? - Atheists,To what extent do the following groups face bias and discrimination in the United States? - Christians,To what extent do the following groups face bias and discrimination in the United States? - Wealthy people,To what extent do the following groups face bias and discrimination in the United States? - Display Order,Please indicate how warm or cold you feel towards the following groups: - Men,Please indicate how warm or cold you feel towards the following groups: - Women,Please indicate how warm or cold you feel towards the following groups: - LGBT people,Please indicate how warm or cold you feel towards the following groups: - Straight/heterosexual people,Please indicate how warm or cold you feel towards the following groups: - Muslims,Please indicate how warm or cold you feel towards the following groups: - White people,Please indicate how warm or cold you feel towards the following groups: - Hispanic people,Please indicate how warm or cold you feel towards the following groups: - Conservatives,Please indicate how warm or cold you feel towards the following groups: - Liberals,Please indicate how warm or cold you feel towards the following groups: - Black people,Please indicate how warm or cold you feel towards the following groups: - Atheists,Please indicate how warm or cold you feel towards the following groups: - Christians,Please indicate how warm or cold you feel towards the following groups: - Wealthy people,Please indicate how warm or cold you feel towards the following groups: - Display Order,"In setting priorities, we must consider all groups",We should not push for group equality,Group equality should be our ideal,Superior groups should dominate inferior groups,To what extent do most groups in the U.S. face bias and discrimination? - Most groups in America,Please indicate how warm or cold you usually feel toward people in general - People in general,What is your Age? - Age,Do you think of yourself as a Christian?,"Would you describe yourself as ""born-again"" and/or an evangelical Christian?",Do you consider yourself a fundamentalist Christian (a fundamentalist Christian is someone who believes in the literal truth of the Bible)?,"What is your present religion, if any?",How religious are you?,Do you currently live in the United States?,What is your race/ethnicity? (Check all that apply) - Selected Choice,What is your race/ethnicity? (Check all that apply) - Other (please specify) - Text,Which of the following best describes you?,"In general, do you think of yourself as ____________?",How do you identify in terms of sexual orienation? - Selected Choice,How do you identify in terms of sexual orienation? - Prefer to self-describe - Text,What most closely describes your gender identity? - Selected Choice,What most closely describes your gender identity? - Not listed - Text,Are you transgender?,My religion is an important reflection of who I am,"In general, my religion is an important part of my self-image",My religion has little to do with how I feel about myself,My religion is unimportant to my sense of what kind of person I am,My destiny is tied to the destiny of other Christians,Being Black is an important reflection of who I am,"In general, being Black is an important part of my self-image","Overall, being Black has very little to do with how I feel about myself",Being Black is unimportant to my sense of what kind of person I am,My destiny is tied to the destiny of other Black people,Being White is an important reflection of who I am,"In general, being White is an important part of my self-image","Overall, being White has very little to do with how I feel about myself",Being White is unimportant to my sense of what kind of person I am,My destiny is tied to the destiny of other White people,What do you think the study was about?,Have you completed a study similar to this one previously?,aid,FL_31 - Block Randomizer - Display Order,FL_38 - Block Randomizer - Display Order,FL_39 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID40""}","{""ImportId"":""QID39""}","{""ImportId"":""QID38""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID109""}","{""ImportId"":""QID63""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID69_2""}","{""ImportId"":""QID69_3""}","{""ImportId"":""QID69_4""}","{""ImportId"":""QID69_5""}","{""ImportId"":""QID69_6""}","{""ImportId"":""QID69_7""}","{""ImportId"":""QID69_8""}","{""ImportId"":""QID69_9""}","{""ImportId"":""QID69_10""}","{""ImportId"":""QID69_11""}","{""ImportId"":""QID69_12""}","{""ImportId"":""QID69_13""}","{""ImportId"":""QID69_DO""}","{""ImportId"":""QID70_1""}","{""ImportId"":""QID70_2""}","{""ImportId"":""QID70_3""}","{""ImportId"":""QID70_4""}","{""ImportId"":""QID70_5""}","{""ImportId"":""QID70_6""}","{""ImportId"":""QID70_7""}","{""ImportId"":""QID70_8""}","{""ImportId"":""QID70_9""}","{""ImportId"":""QID70_10""}","{""ImportId"":""QID70_11""}","{""ImportId"":""QID70_12""}","{""ImportId"":""QID70_13""}","{""ImportId"":""QID70_DO""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID72_1""}","{""ImportId"":""QID71_2""}","{""ImportId"":""QID97_1""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID73""}","{""ImportId"":""QID99""}","{""ImportId"":""QID77""}","{""ImportId"":""QID98""}","{""ImportId"":""QID98_7_TEXT""}","{""ImportId"":""QID103""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101""}","{""ImportId"":""QID101_5_TEXT""}","{""ImportId"":""QID102""}","{""ImportId"":""QID102_4_TEXT""}","{""ImportId"":""QID104""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID107""}","{""ImportId"":""QID93""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID106""}","{""ImportId"":""QID90""}","{""ImportId"":""QID92""}","{""ImportId"":""QID89""}","{""ImportId"":""QID91""}","{""ImportId"":""QID108""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""QID79""}","{""ImportId"":""aid""}","{""ImportId"":""FL_31_DO""}","{""ImportId"":""FL_38_DO""}","{""ImportId"":""FL_39_DO""}"
2021-12-08 19:53:33,2021-12-08 19:58:32,0,73.65.72.157,100,299,1,2021-12-08 19:58:33,R_3Mnz0ITXsb3Zb9P,,,,,44.911407470703125,-93.48979949951171875,anonymous,EN,,,4,1,,,6,6,1,6,6,2,7,7,1,7,7,1,7,7,1,1,7,1,1,7,7,7,7,7,7,1,7,7,7,7,5,5,7,7,1,7,1,7,5,3,6,5,4,7,5,7,7,4,7,7,70,36,47,49,37,60,61,58,39,49,52,43,66,7|12|8|1|10|13|11|3|6|9|5|4|2,71,35,60,35,76,62,72,42,53,56,42,58,47,7|6|5|12|1|3|13|2|9|10|11|4|8,5,4,5,3,64,55,26,1,2,1,2,4,1,5,,5,7,1,,0,,2,7,7,1,1,7,,,,,,7,7,1,1,7,white people being discriminated against,2,61b16f7f-c506-3e1a-035f-93ea7936a999,FL_36,ACB|AWB,ChristianSymbolic|RacialSymbolic|ChristianRealistic|RacialRealistic
2021-12-08 19:53:38,2021-12-08 20:03:41,0,74.133.170.22,100,603,1,2021-12-08 20:03:41,R_3PtbXj39JtIXwox,,,,,36.6143951416015625,-83.72039794921875,anonymous,EN,,,,,4,1,7,7,1,7,6,2,7,7,1,7,4,1,7,7,7,7,1,4,4,1,7,7,7,7,7,7,7,7,4,4,4,7,7,7,3,5,4,7,7,7,5,6,7,6,7,4,4,4,5,4,30,66,1,81,57,78,45,85,5,55,51,85,27,11|13|7|3|12|2|9|10|6|5|8|1|4,99,99,0,98,1,99,99,98,1,97,1,100,81,7|5|11|4|9|13|12|6|2|1|10|3|8,4,4,4,3,50,70,40,1,1,2,1,7,1,5,,5,7,1,,0,,2,7,7,1,1,7,,,,,,7,7,3,7,4,It was about discrimination amount different groups of people,2,61b16f80-86a8-0db9-5631-1d8f9d92513b,FL_34,AWB|ACB,RacialSymbolic|ChristianSymbolic|ChristianRealistic|RacialRealistic
2021-12-08 20:19:01,2021-12-08 20:23:48,0,71.164.79.141,100,287,1,2021-12-08 20:23:48,R_Z4ZQyy41Um9NLsB,,,,,42.7008056640625,-73.86009979248046875,anonymous,EN,4,1,,,,,5,6,5,5,3,5,6,6,4,4,6,6,6,6,6,5,4,6,5,4,6,5,6,7,5,6,6,3,4,4,3,6,6,5,5,4,5,6,4,4,3,3,3,3,6,6,4,4,5,5,19,47,83,27,57,28,75,14,21,77,26,32,36,4|10|13|12|11|6|3|1|8|7|2|5|9,51,61,36,63,49,64,67,30,83,30,41,86,19,6|2|10|13|8|9|3|1|4|7|12|11|5,6,2,6,3,24,39,25,1,2,2,2,4,1,5,,5,4,1,,0,,2,5,5,5,4,5,,,,,,6,6,3,3,4,"Racism in America on the basis of ethnicity, sex, and religion. ",1,61b1756c-ca98-c347-a1d1-f71764812058,FL_37,ACB|AWB,ChristianRealistic|RacialSymbolic|ChristianSymbolic|RacialRealistic
2021-12-08 20:36:28,2021-12-08 20:42:34,0,104.160.53.8,100,365,1,2021-12-08 20:42:35,R_1Fg4Ofz1hn7ntYD,,,,,32.4499969482421875,-81.71579742431640625,anonymous,EN,4,2,,,,,5,4,4,4,4,4,4,4,3,3,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,52,53,53,53,50,57,52,52,55,55,56,53,50,5|8|2|1|13|7|10|9|6|3|4|11|12,53,56,56,50,58,57,54,56,57,50,57,52,57,10|12|1|7|4|3|13|2|11|8|6|9|5,5,4,4,2,49,53,31,1,1,1,1,6,1,5,,5,4,1,,0,,2,5,5,4,5,4,,,,,,4,4,4,4,4,Racism equality,2,61b1797f-3c3e-4575-1984-8354ef3d8d85,FL_37,AWB|ACB,ChristianSymbolic|RacialSymbolic|ChristianRealistic|RacialRealistic
2021-12-08 20:10:14,2021-12-08 20:47:08,0,97.87.237.51,100,2214,1,2021-12-08 20:47:08,R_1pXbdCXrwfsgnGO,,,,,43.368194580078125,-83.58380126953125,anonymous,EN,4,1,,,,,1,1,7,1,1,1,4,3,6,1,1,6,1,1,7,6,1,3,5,2,5,6,7,7,7,6,1,1,1,1,1,1,5,3,5,5,5,5,6,5,5,5,4,6,5,5,3,4,5,1,18,50,58,32,70,38,52,30,45,74,20,44,59,2|5|10|8|9|3|4|11|1|12|6|7|13,72,90,75,76,70,58,70,52,87,82,47,82,61,10|2|13|8|6|4|12|5|11|3|9|1|7,7,4,7,1,50,50,58,1,1,1,1,5,1,5,,5,1,1,,0,,2,6,6,5,2,6,,,,,,7,6,7,7,5,Religion not mattering to people anymore.,2,61b172c4-9088-4bb2-6dad-6e4291675308,FL_37,AWB|ACB,ChristianSymbolic|RacialSymbolic|ChristianRealistic|RacialRealistic
2021-12-08 20:38:15,2021-12-08 20:55:28,0,174.255.128.32,100,1032,1,2021-12-08 20:55:28,R_0UOmBFY22dLTeSd,,,,,32.779693603515625,-96.8022003173828125,anonymous,EN,,,,,,,2,6,1,4,1,3,4,2,6,5,4,1,5,4,7,7,1,4,4,1,7,7,7,7,6,1,6,4,3,2,7,4,3,5,3,7,7,5,5,2,1,4,4,4,1,1,4,1,5,2,1,52,76,6,98,30,44,33,50,85,63,54,81,11|7|10|13|3|2|4|1|8|6|5|9|12,48,53,30,94,20,94,48,49,50,96,8,100,26,3|12|6|2|13|5|7|9|4|11|10|8|1,7,4,4,1,61,60,57,1,1,2,1,7,1,5,,5,4,1,,0,,2,7,7,1,1,4,,,,,,5,5,7,7,3,Different views on discrimination here in America,2,61b17970-d24b-f6d8-1514-3a088945e819,FL_35,AWB|ACB,RacialRealistic|RacialSymbolic|ChristianRealistic|ChristianSymbolic
2021-12-08 20:49:13,2021-12-08 21:00:51,0,184.189.179.152,100,697,1,2021-12-08 21:00:52,R_1g8vK5QFBS0hZfW,,,,,41.212005615234375,-96.11009979248046875,anonymous,EN,4,1,,,,,1,1,4,5,1,1,2,1,7,1,1,6,2,1,5,5,1,4,4,1,1,4,3,1,1,4,2,2,4,1,6,5,5,2,5,5,6,4,2,2,5,4,5,5,1,1,4,1,5,3,12,69,94,11,82,4,76,12,11,77,35,53,0,12|7|8|6|11|3|10|1|2|13|4|9|5,53,79,76,93,74,52,61,51,11,69,63,86,12,4|8|6|5|13|3|11|9|2|10|12|7|1,6,2,6,2,51,55,47,1,2,2,2,5,1,5,,5,5,4,,1,,2,5,5,2,2,1,,,,,,2,2,6,5,1,"Race and identity ",2,61b17c0d-5c3d-daa7-8787-cd56bbb58df9,FL_37,AWB|ACB,RacialRealistic|RacialSymbolic|ChristianSymbolic|ChristianRealistic
2021-12-08 20:56:07,2021-12-08 21:08:27,0,75.182.57.21,100,740,1,2021-12-08 21:08:28,R_2CHgCFP1JqKDlsZ,,,,,33.973907470703125,-81.2344970703125,anonymous,EN,,,,,4,1,7,7,1,7,3,1,6,5,1,6,1,1,6,6,7,7,1,7,6,1,6,6,6,7,7,2,7,7,2,7,2,7,7,7,3,7,5,7,7,7,5,7,7,7,7,7,4,7,5,7,33,96,91,67,92,54,79,72,60,88,67,97,14,7|10|9|4|8|5|2|11|1|6|3|12|13,64,88,48,81,62,93,78,78,42,77,11,95,15,5|9|11|13|1|3|6|12|10|7|4|8|2,7,1,7,1,69,81,53,1,1,1,1,6,1,5,,5,5,1,,0,,2,7,7,1,1,6,,,,,,7,7,1,1,6,discrimination,2,61b17ddc-8ccd-db5f-8cce-fb58dbc254a4,FL_34,ACB|AWB,ChristianRealistic|RacialSymbolic|RacialRealistic|ChristianSymbolic
2021-12-08 21:12:20,2021-12-08 21:17:38,0,174.250.211.40,100,317,1,2021-12-08 21:17:38,R_2BqvuE2VQ5yqRgW,,,,,38.577392578125,-90.6708984375,anonymous,EN,2,1,,,,,6,7,6,7,6,7,7,6,7,6,7,6,7,6,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,7,6,6,6,7,6,7,6,7,6,7,6,6,7,6,59,46,74,54,73,80,59,77,62,76,52,56,80,9|2|3|1|10|4|6|7|13|12|8|11|5,47,55,70,79,47,68,37,65,43,75,48,73,60,13|4|2|3|5|12|11|10|9|8|7|6|1,7,6,7,6,60,79,93,1,1,1,1,6,1,5,,5,4,1,,1,,2,7,6,7,6,7,,,,,,6,7,6,7,6,Religion,2,61b181fc-e95f-52b2-cdb7-755b30c1a8cb,FL_37,AWB|ACB,ChristianSymbolic|RacialRealistic|RacialSymbolic|ChristianRealistic
2021-12-08 21:15:58,2021-12-08 21:26:33,0,67.222.245.200,100,634,1,2021-12-08 21:26:33,R_1OkNbpXlsg62SjL,,,,,33.9131927490234375,-81.45980072021484375,anonymous,EN,,,,,,,7,7,1,7,7,1,7,7,1,7,7,1,7,7,1,1,1,1,1,7,7,7,7,7,7,1,7,7,7,7,1,7,7,7,1,7,1,7,7,7,1,7,7,7,7,7,1,7,5,7,100,100,2,100,2,100,2,100,8,7,100,100,100,11|10|13|6|2|4|7|3|9|8|12|5|1,100,100,2,97,2,100,2,100,2,2,2,100,2,9|3|2|8|1|4|6|10|5|11|12|7|13,7,7,1,7,100,100,38,1,1,1,1,7,1,5,,5,7,1,,0,,2,7,7,1,7,7,,,,,,7,7,7,1,1,Race and a quality,2,61b1829d-cb03-9c58-8cd5-5ef922d79293,FL_35,ACB|AWB,RacialSymbolic|RacialRealistic|ChristianSymbolic|ChristianRealistic
2021-12-08 21:18:02,2021-12-08 21:28:34,0,74.192.219.182,100,632,1,2021-12-08 21:28:35,R_1kZY8cpav2apSxh,,,,,28.8683929443359375,-96.996002197265625,anonymous,EN,,,4,1,,,4,4,4,4,4,4,7,7,1,7,7,1,7,7,1,1,7,1,1,7,1,1,1,1,1,7,7,7,1,7,1,7,4,4,4,4,4,4,4,4,4,4,4,4,7,5,1,7,5,7,15,25,15,15,60,60,10,5,10,10,30,15,0,12|8|11|3|1|6|4|13|7|5|2|9|10,75,75,50,85,15,80,55,55,55,60,5,90,30,11|12|1|5|7|8|13|2|9|3|10|4|6,7,7,7,1,60,45,40,1,2,2,1,5,1,5,,5,4,1,,1,,2,5,5,2,2,1,,,,,,5,5,2,2,1,How racisim affects everyone.,2,61b1833e-02c1-0313-4a3e-bf17f2abc3ee,FL_36,AWB|ACB,RacialSymbolic|ChristianSymbolic|RacialRealistic|ChristianRealistic
2021-12-08 21:28:20,2021-12-08 21:37:31,0,108.200.131.190,100,551,1,2021-12-08 21:37:32,R_1lglQ4FWT9TLGIS,,,,,29.5800018310546875,-98.275299072265625,anonymous,EN,,,4,1,,,6,4,5,5,4,2,5,4,2,5,3,1,6,4,6,5,2,5,7,1,3,4,5,4,4,3,4,3,4,4,5,3,4,5,3,4,2,5,4,5,4,4,5,5,3,3,4,3,5,2,35,59,74,79,72,39,66,55,61,61,49,71,31,12|4|8|3|7|9|6|13|10|5|11|2|1,59,81,74,76,25,79,74,54,53,64,46,71,57,1|12|4|13|3|5|7|8|2|6|10|9|11,5,3,4,3,68,65,25,1,2,1,1,5,1,5,,5,4,4,,0,,2,4,5,4,3,3,,,,,,5,5,3,2,4,"I thought it was interesting with racial things ",2,61b18598-a18a-fcb5-a4bb-b37b476c50bc,FL_36,ACB|AWB,ChristianSymbolic|ChristianRealistic|RacialSymbolic|RacialRealistic
